"","SampleID","MesquiteNum","Plot","SoilType","pH","ElectricalConductivity.dS.m.","Ca","Mg","Na","K","Zn","Fe","Mn","Cu","Ni","NO3.N","PO4.P","SO4.S","B","ESP...","CEC.meq.100g.","CanopyStatus","PatchType"
"1","M1_NC_1","M1","NC","Live",5.3,0.14,360,48,21,220,1.8,150,10,2.7,0.13,9.7,19,9.4,0.59,3.21,2.85,"Mesquite","Native"
"2","M1_NC_2","M1","NC","Sterile",5,0.12,390,53,20,240,2.1,86,37,2.1,0.13,5.5,20,9.5,0.53,2.82,3.08,"Mesquite","Native"
"3","M1_IC_1","M1","IC","Live",5.6,0.058,380,66,24,130,1.2,26,10,2.6,0.07,4.6,8.4,3.2,0.35,3.63,2.88,"Mesquite","Invasive"
"4","M1_IC_2","M1","IC","Sterile",6.3,0.1,570,78,19,130,1.6,34,39,1.5,0.08,2.8,7.3,5,0.46,2.12,3.9,"Mesquite","Invasive"
"5","M1_NO_1","M1","NO","Live",5.1,0.041,250,44,20,78,0.79,49,13,1.6,0.066,2.7,9.5,2.6,0.57,4.59,1.9,"Open","Native"
"6","M1_NO_2","M1","NO","Sterile",5.3,0.084,280,53,22,130,0.96,19,53,2.1,0.067,1.4,6.3,3,0.68,4.23,2.26,"Open","Native"
"7","M1_IO_1","M1","IO","Live",5.3,0.06,260,52,21,110,1.4,26,17,1.7,0.1,6.9,9.7,7.5,1.3,4.35,2.1,"Open","Invasive"
"8","M1_IO_2","M1","IO","Sterile",5.2,0.073,250,53,17,99,1.2,34,36,1.7,0.11,4.9,7.5,8.5,0.88,3.68,2.01,"Open","Invasive"
"9","M2_NC_1","M2","NC","Live",5.2,0.1,290,52,24,170,1.1,64,13,1.9,0.099,6.4,9.7,5.4,0.77,4.32,2.41,"Mesquite","Native"
"10","M2_NC_2","M2","NC","Sterile",5.3,0.12,300,51,25,150,1,25,27,1.2,0.059,5,11,8.1,0.94,4.51,2.41,"Mesquite","Native"
"11","M2_IC_1","M2","IC","Live",5.3,0.19,530,58,27,170,1.6,47,12,3.5,0.12,13,16,6.4,0.43,3.2,3.67,"Mesquite","Invasive"
"12","M2_IC_2","M2","IC","Sterile",5.3,0.2,500,54,22,120,1.5,34,24,1.4,0.082,7,9.8,7.1,0.33,2.86,3.34,"Mesquite","Invasive"
"13","M2_NO_1","M2","NO","Live",5.6,0.081,370,63,19,110,1.1,19,14,1.8,0.076,8,7.4,4.1,0.24,3.03,2.73,"Open","Native"
"14","M2_NO_2","M2","NO","Sterile",5.6,0.14,380,67,21,96,1.8,18,40,2.8,0.071,3.8,10,5.8,0.41,3.28,2.78,"Open","Native"
"15","M2_IO_1","M2","IO","Live",6.1,0.063,410,71,25,110,0.79,12,10,2.6,0.057,5.4,7.8,2.4,0.3,3.6,3.02,"Open","Invasive"
"16","M2_IO_2","M2","IO","Sterile",5.4,0.067,310,58,25,110,1,16,48,3.4,0.062,1.9,8.9,3.7,0.4,4.5,2.41,"Open","Invasive"
"17","M3_NC_1","M3","NC","Live",5.4,0.12,480,67,20,200,2.5,31,11,1.6,0.15,16,11,5.2,0.22,2.45,3.55,"Mesquite","Native"
"18","M3_NC_2","M3","NC","Sterile",5.2,0.19,430,60,17,200,2.2,31,26,1.5,0.1,6.1,9.8,6.5,0.23,2.29,3.23,"Mesquite","Native"
"19","M3_IC_1","M3","IC","Live",5.2,0.13,280,52,20,130,1.2,32,11,1.7,0.12,6.7,12,4.4,0.52,3.88,2.24,"Mesquite","Invasive"
"20","M3_IC_2","M3","IC","Sterile",5.5,0.18,350,52,18,110,1.3,17,31,1.8,0.089,3.1,9.3,5.1,1.3,3.09,2.53,"Mesquite","Invasive"
"21","M3_NO_1","M3","NO","Live",5.3,0.065,290,52,15,130,0.71,19,15,1.9,0.064,3.6,10,3.3,0.36,2.87,2.27,"Open","Native"
"22","M3_NO_2","M3","NO","Sterile",5,0.1,240,46,26,100,1,19,30,2.8,0.061,1.5,9.4,3.5,0.19,5.81,1.95,"Open","Native"
"23","M3_IO_1","M3","IO","Live",5.6,0.099,360,62,17,110,0.94,14,14,1.7,0.065,6.3,6.8,2.7,0.17,2.78,2.66,"Open","Invasive"
"24","M3_IO_2","M3","IO","Sterile",5.2,0.15,280,50,24,93,0.87,14,38,1.4,0.056,0.97,6.6,6.8,0.17,4.85,2.15,"Open","Invasive"
